Percentile	Salary
1	5000
2	8000
3	10000
4	12000
5	13000
6	15000
7	16000
8	17500
9	19000
10	20000
11	20000
12	21750
13	23000
14	24000
15	25000
16	25000
17	26000
18	27000
19	28300
20	30000
21	30000
22	30000
23	30000
24	31680
25	32000
26	34000
27	35000
28	35000
29	35000
30	36000
31	37440
32	38000
33	40000
34	40000
35	40000
36	40000
37	41600
38	42500
39	44600
40	45000
41	45000
42	46000
43	47750
44	48000
45	50000
46	50000
47	50000
48	50000
49	52000
50	52000
51	54000
52	55000
53	55000
54	56000
55	58000
56	60000
57	60000
58	60000
59	60000
60	62000
61	64000
62	65000
63	66000
64	68000
65	70000
66	70000
67	71000
68	73000
69	75000
70	75000
71	78000
72	80000
73	80000
74	82000
75	85000
76	87000
77	90000
78	90000
79	95000
80	97000
81	100000
82	100000
83	100000
84	105000
85	110000
86	115000
87	120000
88	121000
89	127000
90	132000
91	140000
92	150000
93	150000
94	162000
95	180000
96	200000
97	221000
98	268000
99	390000
